form	stem	freq	corpus_size	lemma_freq	lfpm10	llfpm10	form_length	form_syl_count	lemma_length	lemma_syl_count	hunspell	vowels	ending	suffix_vowel	suffix_initial	linking_vowel	suffixes	examples	suffix
bojlerem	bojler	97	8570080167	25309	-0.946213150191713	1.4702901013537286	8	3	6	2	TRUE	oe	em	front	V	e	-om / -em	haverom, partnerem	Poss.1Sg
bojleretek	bojler	5	8570080167	25309	-2.234014880121939	1.4702901013537286	10	4	6	2	TRUE	oe	etek	front	V	e	-otok / -etek	haverotok, koncertetek	Poss.2Pl
bojlered	bojler	85	8570080167	25309	-1.0035659587436652	1.4702901013537286	8	3	6	2	TRUE	oe	ed	front	V	e	-od / -ed	haverod, partnered	Poss.2Sg
bojlerjük	bojler	6	8570080167	25309	-2.1548336340743144	1.4702901013537286	9	3	6	2	TRUE	oe	jük	front	C	NA	-juk / -jük	haverjuk, koncertjük	Poss.3Pl
bojlerük	bojler	22	8570080167	25309	-1.5905622036357516	1.4702901013537286	8	3	6	2	TRUE	oe	ük	front	V	ü	-uk / -ük	pajeszuk, partnerük	Poss.3Pl
bojlerja	bojler	2	8570080167	25309	-2.6319548887939765	1.4702901013537286	8	3	6	2	TRUE	oe	ja	back	C	NA	-ja / -je	haverja, modellje	Poss.3Sg
bojlerje	bojler	10	8570080167	25309	-1.9329848844579576	1.4702901013537286	8	3	6	2	TRUE	oe	je	front	C	NA	-ja / -je	haverja, modellje	Poss.3Sg
bojlera	bojler	2	8570080167	25309	-2.6319548887939765	1.4702901013537286	7	3	6	2	TRUE	oe	a	back	V	a	-a / -e	samesza, partnere	Poss.3Sg
bojlere	bojler	389	8570080167	25309	-0.34303528313225007	1.4702901013537286	7	3	6	2	TRUE	oe	e	front	V	e	-a / -e	samesza, partnere	Poss.3Sg
bojlerra	bojler	12	8570080167	25309	-1.853803638410333	1.4702901013537286	8	3	6	2	TRUE	oe	ra	back	C	NA	-ra / -re	panelra, koncertre	Subl
bojleron	bojler	9	8570080167	25309	-1.978742375018633	1.4702901013537286	8	3	6	2	TRUE	oe	on	back	V	o	-on / -en	panelon, koncerten	Supe
bojlerré	bojler	2	8570080167	25309	-2.6319548887939765	1.4702901013537286	8	3	6	2	TRUE	oe	vé	front	C	NA	-vá / -vé	balekká, partnerré	Transl
projektek	projekt	233695	8570080167	2236203	2.4356645361258003	3.416526341311925	9	3	7	2	TRUE	oe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
modellek	modell	210429	8570080167	1509359	2.390120706879662	3.2458076642479075	8	3	6	2	TRUE	oe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
partnerek	partner	156807	8570080167	1270201	2.262380561604217	3.170887565855278	9	3	7	2	TRUE	ae	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
koncertet	koncert	137740	8570080167	1019145	2.2060751941913437	3.0752510936798796	9	3	7	2	TRUE	oe	et	front	V	e	-ot / -et / -öt	flóbertot, flóbertet/flőbörtöt	Acc
partnere	partner	122551	8570080167	1270201	2.155331974930302	3.170887565855278	8	3	7	2	TRUE	ae	e	front	V	e	-a / -e	samesza, partnere	Poss.3Sg
partnereink	partner	114628	8570080167	1270201	2.1263058305572735	3.170887565855278	11	4	7	2	TRUE	ae	eink	front	V	e	-aink / -eink	bunkeraink, partnereink	Pl.Poss.1Pl
projektet	projekt	113771	8570080167	2236203	2.123046690913921	3.416526341311925	9	3	7	2	TRUE	oe	et	front	V	e	-ot / -et / -öt	flóbertot, flóbertet/flőbörtöt	Acc
koncertek	koncert	94772	8570080167	1019145	2.0436951613013763	3.0752510936798796	9	3	7	2	TRUE	oe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
szoftverek	szoftver	93222	8570080167	653676	2.0365335316632422	2.8823776554889804	10	3	8	2	TRUE	oe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
koncerten	koncert	86590	8570080167	1019145	2.0044828551854197	3.0752510936798796	9	3	7	2	TRUE	oe	en	front	V	e	-on / -en	panelon, koncerten	Supe
projektben	projekt	80887	8570080167	2236203	1.97489384380532	3.416526341311925	10	3	7	2	TRUE	oe	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
modellje	modell	76747	8570080167	1509359	1.9520765236794109	3.2458076642479075	8	3	6	2	TRUE	oe	je	front	C	NA	-ja / -je	haverja, modellje	Poss.3Sg
partnerei	partner	71373	8570080167	1270201	1.9205490672529215	3.170887565855278	9	4	7	2	TRUE	ae	ei	front	V	e	-ai / -ei	sameszai, partnerei	Pl.Poss.3Sg
partnerünk	partner	67818	8570080167	1270201	1.8983600935265552	3.170887565855278	10	3	7	2	TRUE	ae	ünk	front	V	ü	-unk / -ünk	haverunk, partnerünk	Poss.1Pl
hotelben	hotel	57356	8570080167	789022	1.825593971617032	2.9641042281879626	8	3	5	2	TRUE	oe	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
koncertje	koncert	56643	8570080167	1019145	1.8201613625002837	3.0752510936798796	9	3	7	2	TRUE	oe	je	front	C	NA	-ja / -je	haverja, modellje	Poss.3Sg
koncertre	koncert	50442	8570080167	1019145	1.7698074133428487	3.0752510936798796	9	3	7	2	TRUE	oe	re	front	C	NA	-ra / -re	panelra, koncertre	Subl
projektje	projekt	44663	8570080167	2236203	1.7169630066842592	3.416526341311925	9	3	7	2	TRUE	oe	je	front	C	NA	-ja / -je	haverja, modellje	Poss.3Sg
modellre	modell	38062	8570080167	1509359	1.6475067204636964	3.2458076642479075	8	3	6	2	TRUE	oe	re	front	C	NA	-ra / -re	panelra, koncertre	Subl
kábelek	kábel	36121	8570080167	287412	1.6247748806738256	2.5255200123429824	7	3	5	2	TRUE	áe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
projekthez	projekt	35366	8570080167	2236203	1.6156010581341782	3.416526341311925	10	3	7	2	TRUE	oe	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
modellben	modell	31805	8570080167	1509359	1.5695105154545934	3.2458076642479075	9	3	6	2	TRUE	oe	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
szoftverrel	szoftver	31320	8570080167	653676	1.562836868927948	2.8823776554889804	11	3	8	2	TRUE	oe	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
modellel	modell	30857	8570080167	1509359	1.5563688160514606	3.2458076642479075	8	3	6	2	TRUE	oe	vel	front	C	e	-val / -vel	haverral, szoftverrel	Ins
szovjetek	szovjet	30054	8570080167	340921	1.5449173976152002	2.59966886920045	9	3	7	2	TRUE	oe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
projekttel	projekt	29986	8570080167	2236203	1.543933652198922	3.416526341311925	10	3	7	2	TRUE	oe	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
projektnek	projekt	27187	8570080167	2236203	1.5013764027423553	3.416526341311925	10	3	7	2	TRUE	oe	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
panelek	panel	26502	8570080167	223571	1.4902937651840769	2.4164305848960708	7	3	5	2	TRUE	ae	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
docense	docens	26336	8570080167	185029	1.487564929074218	2.334254917204184	7	3	6	2	TRUE	oe	e	front	V	e	-a / -e	samesza, partnere	Poss.3Sg
koncerttel	koncert	25667	8570080167	1019145	1.476390226146314	3.0752510936798796	10	3	7	2	TRUE	oe	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
partnerrel	partner	25642	8570080167	1270201	1.475967011392303	3.170887565855278	10	3	7	2	TRUE	ae	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
hotelek	hotel	25061	8570080167	789022	1.4660135120412363	2.9641042281879626	7	3	5	2	TRUE	oe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
projektre	projekt	22052	8570080167	2236203	1.4104630993492735	3.416526341311925	9	3	7	2	TRUE	oe	re	front	C	NA	-ra / -re	panelra, koncertre	Subl
kábellel	kábel	21391	8570080167	287412	1.3972462032613218	2.5255200123429824	8	3	5	2	TRUE	áe	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
haverok	haver	20730	8570080167	165801	1.383614417635903	2.2866022611361054	7	3	5	2	TRUE	ae	ok	back	V	o	-ok / -ek	haverok, projektek	Pl
projektbe	projekt	20570	8570080167	2236203	1.380249407236766	3.416526341311925	9	3	7	2	TRUE	oe	be	front	C	NA	-ba / -be	fotelba, projektbe	Ill
modellnek	modell	20485	8570080167	1509359	1.3784510838312034	3.2458076642479075	9	3	6	2	TRUE	oe	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
modelljei	modell	19984	8570080167	1509359	1.3676975365721025	3.2458076642479075	9	4	6	2	TRUE	oe	jei	front	C	NA	-jai / -jei	haverjai, modelljei	Pl.Poss.3Sg
partnernek	partner	19802	8570080167	1270201	1.3637241717176456	3.170887565855278	10	3	7	2	TRUE	ae	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
projektről	projekt	18990	8570080167	2236203	1.3455400802790598	3.416526341311925	10	3	7	2	TRUE	oe	ről	front	C	NA	-ról / -ről	matekról, projektről	Del
haverom	haver	18757	8570080167	165801	1.3401784939543877	2.2866022611361054	7	3	5	2	TRUE	ae	om	back	V	o	-om / -em	haverom, partnerem	Poss.1Sg
slágerek	sláger	18632	8570080167	155508	1.3372745910686663	2.2587678514546465	8	3	6	2	TRUE	áe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
projekten	projekt	18241	8570080167	2236203	1.3280637588862672	3.416526341311925	9	3	7	2	TRUE	oe	en	front	V	e	-on / -en	panelon, koncerten	Supe
kábelen	kábel	16753	8570080167	287412	1.2911077040363097	2.5255200123429824	7	3	5	2	TRUE	áe	en	front	V	e	-on / -en	panelon, koncerten	Supe
modellhez	modell	16519	8570080167	1509359	1.2849988687184797	3.2458076642479075	9	3	6	2	TRUE	oe	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
slágere	sláger	15482	8570080167	155508	1.2568421786627042	2.2587678514546465	7	3	6	2	TRUE	áe	e	front	V	e	-a / -e	samesza, partnere	Poss.3Sg
partnered	partner	15409	8570080167	1270201	1.2547895707060273	3.170887565855278	9	3	7	2	TRUE	ae	ed	front	V	e	-od / -ed	haverod, partnered	Poss.2Sg
panelen	panel	14549	8570080167	223571	1.2298482594202025	2.4164305848960708	7	3	5	2	TRUE	ae	en	front	V	e	-on / -en	panelon, koncerten	Supe
projektünk	projekt	14510	8570080167	2236203	1.228682527979778	3.416526341311925	10	3	7	2	TRUE	oe	ünk	front	V	ü	-unk / -ünk	haverunk, partnerünk	Poss.1Pl
drukkerek	drukker	14408	8570080167	34067	1.225618815353519	1.599349006057054	9	3	7	2	TRUE	ue	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
szoftvere	szoftver	13437	8570080167	653676	1.1953174327063925	2.8823776554889804	9	3	8	2	TRUE	oe	e	front	V	e	-a / -e	samesza, partnere	Poss.3Sg
klaszterek	klaszter	13231	8570080167	72146	1.188607784980449	1.9252273729939529	10	3	8	2	FALSE	ae	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
hoteltől	hotel	12626	8570080167	789022	1.1682809005333772	2.9641042281879626	8	3	5	2	TRUE	oe	től	front	C	NA	-tól / -től	havertól, hoteltől	Abl
modellen	modell	12423	8570080167	1509359	1.161241600764083	3.2458076642479075	8	3	6	2	TRUE	oe	en	front	V	e	-on / -en	panelon, koncerten	Supe
koncertről	koncert	12315	8570080167	1019145	1.1574495317171642	3.0752510936798796	10	3	7	2	TRUE	oe	ről	front	C	NA	-ról / -ről	matekról, projektről	Del
partnerre	partner	11508	8570080167	1270201	1.1280149687603307	3.170887565855278	9	3	7	2	TRUE	ae	re	front	C	NA	-ra / -re	panelra, koncertre	Subl
szlogenje	szlogen	11442	8570080167	73259	1.1255170589716914	1.9318761017045023	9	3	7	2	TRUE	oe	je	front	C	NA	-ja / -je	haverja, modellje	Poss.3Sg
modellnél	modell	11136	8570080167	1509359	1.113744337808529	3.2458076642479075	9	3	6	2	TRUE	oe	nél	front	C	NA	-nál / -nél	havernál, modellnél	Ade
partnerem	partner	10686	8570080167	1270201	1.0958302853889292	3.170887565855278	9	3	7	2	TRUE	ae	em	front	V	e	-om / -em	haverom, partnerem	Poss.1Sg
hotelbe	hotel	10613	8570080167	789022	1.0928532797717423	2.9641042281879626	7	3	5	2	TRUE	oe	be	front	C	NA	-ba / -be	fotelba, projektbe	Ill
dzsungelben	dzsungel	10604	8570080167	55832	1.092484834603098	1.8138983008598983	11	3	8	2	TRUE	ue	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
haverja	haver	10264	8570080167	165801	1.0783317589089143	2.2866022611361054	7	3	5	2	TRUE	ae	ja	back	C	NA	-ja / -je	haverja, modellje	Poss.3Sg
projektjei	projekt	10123	8570080167	2236203	1.0723243523905588	3.416526341311925	10	4	7	2	TRUE	oe	jei	front	C	NA	-jai / -jei	haverjai, modelljei	Pl.Poss.3Sg
partnereik	partner	10033	8570080167	1270201	1.0684459277884404	3.170887565855278	10	4	7	2	TRUE	ae	eik	front	V	e	-aik / -eik	sameszaik, partnereik	Pl.Poss.3Pl
koncertjei	koncert	9959	8570080167	1019145	1.0652308479130004	3.0752510936798796	10	4	7	2	TRUE	oe	jei	front	C	NA	-jai / -jei	haverjai, modelljei	Pl.Poss.3Sg
hardverek	hardver	9579	8570080167	133417	1.0483352888011497	2.192226286470405	9	3	7	2	TRUE	ae	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
modellről	modell	9534	8570080167	1509359	1.0462902631330653	3.2458076642479075	9	3	6	2	TRUE	oe	ről	front	C	NA	-ról / -ről	matekról, projektről	Del
kódexet	kódex	9405	8570080167	122990	1.0403739154284397	2.156884917051594	7	3	5	2	TRUE	óe	et	front	V	e	-ot / -et / -öt	flóbertot, flóbertet/flőbörtöt	Acc
modellből	modell	9391	8570080167	1509359	1.0397269560891087	3.2458076642479075	9	3	6	2	TRUE	oe	ből	front	C	NA	-ból / -ből	matekból, modellből	Ela
szoftverben	szoftver	9343	8570080167	653676	1.0375014643896925	2.8823776554889804	11	3	8	2	TRUE	oe	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
partnerük	partner	8899	8570080167	1270201	1.0163563223125396	3.170887565855278	9	3	7	2	TRUE	ae	ük	front	V	ü	-uk / -ük	pajeszuk, partnerük	Poss.3Pl
szlogennel	szlogen	8867	8570080167	73259	1.0147918240067804	1.9318761017045023	10	3	7	2	TRUE	oe	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
modelltől	modell	8658	8570080167	1509359	1.00443269701918	3.2458076642479075	9	3	6	2	TRUE	oe	től	front	C	NA	-tól / -től	havertól, hoteltől	Abl
farmerek	farmer	8498	8570080167	82647	0.9963318422955378	1.984242209298364	8	3	6	2	TRUE	ae	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
kódexe	kódex	8313	8570080167	122990	0.9867728960439364	2.156884917051594	6	3	5	2	TRUE	óe	e	front	V	e	-a / -e	samesza, partnere	Poss.3Sg
fotelben	fotel	8185	8570080167	70961	0.9800337992900024	1.918034842594317	8	3	5	2	TRUE	oe	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
poszterek	poszter	7755	8570080167	49599	0.956596917691666	1.7624880360068378	9	3	7	2	TRUE	oe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
koncertjük	koncert	7556	8570080167	1019145	0.945307064791838	3.0752510936798796	10	3	7	2	TRUE	oe	jük	front	C	NA	-juk / -jük	haverjuk, koncertjük	Poss.3Pl
kódexek	kódex	7515	8570080167	122990	0.9429441004649692	2.156884917051594	7	3	5	2	TRUE	óe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
transzferek	transzfer	7380	8570080167	87598	0.9350714773650838	2.0095093061978013	11	3	9	2	TRUE	ae	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
koncertnek	koncert	7345	8570080167	1019145	0.9330069156683176	3.0752510936798796	10	3	7	2	TRUE	oe	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
modemet	modem	7322	8570080167	54652	0.9316448400875544	1.8046211752050836	7	3	5	2	TRUE	oe	et	front	V	e	-ot / -et / -öt	flóbertot, flóbertet/flőbörtöt	Acc
konzervet	konzerv	7286	8570080167	49626	0.9295042824479391	1.762724386751122	9	3	7	2	TRUE	oe	et	front	V	e	-ot / -et / -öt	flóbertot, flóbertet/flőbörtöt	Acc
hardverrel	hardver	7060	8570080167	133417	0.915819816593846	2.192226286470405	10	3	7	2	TRUE	ae	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
szoftverre	szoftver	7037	8570080167	653676	0.9144026665694376	2.8823776554889804	10	3	8	2	TRUE	oe	re	front	C	NA	-ra / -re	panelra, koncertre	Subl
slágerei	sláger	6696	8570080167	155508	0.8928305605272457	2.2587678514546465	8	4	6	2	TRUE	áe	ei	front	V	e	-ai / -ei	sameszai, partnerei	Pl.Poss.3Sg
kódexre	kódex	6680	8570080167	122990	0.8917915780175878	2.156884917051594	7	3	5	2	TRUE	óe	re	front	C	NA	-ra / -re	panelra, koncertre	Subl
projektből	projekt	6655	8570080167	2236203	0.890163175352736	3.416526341311925	10	3	7	2	TRUE	oe	ből	front	C	NA	-ból / -ből	matekból, modellből	Ela
skanzenben	skanzen	6571	8570080167	26458	0.8846465827325576	1.4895721276614022	10	3	7	2	TRUE	ae	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
mágnesek	mágnes	6461	8570080167	59860	0.877314856582211	1.8441518280462148	8	3	6	2	TRUE	áe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
szoftvernek	szoftver	6458	8570080167	653676	0.877113156223185	2.8823776554889804	11	3	8	2	TRUE	oe	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
matekból	matek	6346	8570080167	47606	0.8695151833064356	1.7446768078145567	8	3	5	2	TRUE	ae	ból	back	C	NA	-ból / -ből	matekból, modellből	Ela
modellbe	modell	6342	8570080167	1509359	0.869241353233112	3.2458076642479075	8	3	6	2	TRUE	oe	be	front	C	NA	-ba / -be	fotelba, projektbe	Ill
kódexben	kódex	6296	8570080167	122990	0.8660798348930503	2.156884917051594	8	3	5	2	TRUE	óe	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
hotelnek	hotel	6212	8570080167	789022	0.8602465625985631	2.9641042281879626	8	3	5	2	TRUE	oe	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
modellünk	modell	6148	8570080167	1509359	0.8557489743697497	3.2458076642479075	9	3	6	2	TRUE	oe	ünk	front	V	ü	-unk / -ünk	haverunk, partnerünk	Poss.1Pl
hotelen	hotel	6010	8570080167	789022	0.8458895875447817	2.9641042281879626	7	3	5	2	TRUE	oe	en	front	V	e	-on / -en	panelon, koncerten	Supe
pollenek	pollen	5956	8570080167	29350	0.8419698046221807	1.5346232211256754	8	3	6	2	TRUE	oe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
koncertünk	koncert	5800	8570080167	1019145	0.8304431091049794	3.0752510936798796	10	3	7	2	TRUE	oe	ünk	front	V	ü	-unk / -ünk	haverunk, partnerünk	Poss.1Pl
makettek	makett	5769	8570080167	42231	0.8281156545001844	1.6926464808727033	8	3	6	2	TRUE	ae	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
matekot	matek	5639	8570080167	47606	0.8182172101303954	1.7446768078145567	7	3	5	2	TRUE	ae	ot	back	V	o	-ot / -et / -öt	flóbertot, flóbertet/flőbörtöt	Acc
projektjük	projekt	5563	8570080167	2236203	0.8123241754828702	3.416526341311925	10	3	7	2	TRUE	oe	jük	front	C	NA	-juk / -jük	haverjuk, koncertjük	Poss.3Pl
szoftverhez	szoftver	5431	8570080167	653676	0.8018949183346697	2.8823776554889804	11	3	8	2	TRUE	oe	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
fotelek	fotel	5282	8570080167	70961	0.7898135124129474	1.918034842594317	7	3	5	2	TRUE	oe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
parketten	parkett	4988	8570080167	12893	0.7649415603485471	1.1773690982060443	9	3	7	2	TRUE	ae	en	front	V	e	-on / -en	panelon, koncerten	Supe
mágnessel	mágnes	4948	8570080167	59860	0.7614448064991253	1.8441518280462148	9	3	6	2	TRUE	áe	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
konzervek	konzerv	4946	8570080167	49626	0.7612692275673206	1.762724386751122	9	3	7	2	TRUE	oe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
kábelre	kábel	4931	8570080167	287412	0.7599501180731799	2.5255200123429824	7	3	5	2	TRUE	áe	re	front	C	NA	-ra / -re	panelra, koncertre	Subl
rockerek	rocker	4881	8570080167	20440	0.7555239231985634	1.3774960070047173	8	3	6	2	FALSE	oe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
panellel	panel	4872	8570080167	223571	0.7547223951668611	2.4164305848960708	8	3	5	2	TRUE	ae	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
panelban	panel	4832	8570080167	223571	0.7511420411551176	2.4164305848960708	8	3	5	2	TRUE	ae	ban	back	C	NA	-ban / -ben	panelban, projektben	Ine
ágensek	ágens	4776	8570080167	17621	0.7460794336633548	1.3130456667326265	7	3	5	2	TRUE	áe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
haverjai	haver	4757	8570080167	165801	0.7443482669619439	2.2866022611361054	8	4	5	2	TRUE	ae	jai	back	C	NA	-jai / -jei	haverjai, modelljei	Pl.Poss.3Sg
panelben	panel	4651	8570080167	223571	0.7345614550535586	2.4164305848960708	8	3	5	2	TRUE	ae	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
balettet	balett	4587	8570080167	87544	0.7285438556740248	2.009241501756081	8	3	6	2	TRUE	ae	et	front	V	e	-ot / -et / -öt	flóbertot, flóbertet/flőbörtöt	Acc
brókerek	bróker	4556	8570080167	27705	0.7255988309491049	1.509573270037965	8	3	6	2	TRUE	óe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
fotelből	fotel	4503	8570080167	70961	0.7205170625049749	1.918034842594317	8	3	5	2	TRUE	oe	ből	front	C	NA	-ból / -ből	matekból, modellből	Ela
duettet	duett	4361	8570080167	25938	0.7066012022154686	1.4809516014593376	7	3	5	2	TRUE	ue	et	front	V	e	-ot / -et / -öt	flóbertot, flóbertet/flőbörtöt	Acc
projektjeink	projekt	4273	8570080167	2236203	0.6977480083592387	3.416526341311925	12	4	7	2	TRUE	oe	jeink	front	C	NA	-jaink / -jeink	haverjaink, projektjeink	Pl.Poss.1Pl
makettet	makett	4245	8570080167	42231	0.6948928101220136	1.6926464808727033	8	3	6	2	TRUE	ae	et	front	V	e	-ot / -et / -öt	flóbertot, flóbertet/flőbörtöt	Acc
modemmel	modem	4136	8570080167	54652	0.6835956456279283	1.8046211752050836	8	3	5	2	TRUE	oe	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
fotelban	fotel	4069	8570080167	70961	0.6765028053953275	1.918034842594317	8	3	5	2	TRUE	oe	ban	back	C	NA	-ban / -ben	panelban, projektben	Ine
hotelban	hotel	4069	8570080167	789022	0.6765028053953275	2.9641042281879626	8	3	5	2	TRUE	oe	ban	back	C	NA	-ban / -ben	panelban, projektben	Ine
hotelhez	hotel	4036	8570080167	789022	0.672966273106915	2.9641042281879626	8	3	5	2	TRUE	oe	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
szlogenek	szlogen	3920	8570080167	73259	0.6603011825624995	1.9318761017045023	9	3	7	2	TRUE	oe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
sallerek	saller	3801	8570080167	7312	0.646912985145146	0.9310512982678172	8	3	6	2	FALSE	ae	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
haverod	haver	3724	8570080167	165801	0.6380247878513471	2.2866022611361054	7	3	5	2	TRUE	ae	od	back	V	o	-od / -ed	haverod, partnered	Poss.2Sg
