form	lemma	xpostag	freq	corpus_size	lemma_freq	lfpm10	llfpm10	form_length	form_syl_count	lemma_length	lemma_syl_count	hunspell	vowels	suffix	suffix_vowel	suffix_initial
bagettel	bagett	[/N][Ins]	807	8570080167	8695	-0.0261113497358874	1.0062847018807737	8	3	6	2	FALSE	ae	vel	front	C
bagettjeink	bagett	[/N][Pl.Poss.1Pl][Nom]	2	8570080167	8695	-2.6319548887939765	1.0062847018807737	11	4	6	2	FALSE	ae	jeink	front	C
bagettjeim	bagett	[/N][Pl.Poss.1Sg][Nom]	5	8570080167	8695	-2.234014880121939	1.0062847018807737	10	4	6	2	FALSE	ae	jeim	front	C
bagettjeik	bagett	[/N][Pl.Poss.3Pl][Nom]	4	8570080167	8695	-2.3309248931299953	1.0062847018807737	10	4	6	2	FALSE	ae	jeik	front	C
bagettjei	bagett	[/N][Pl.Poss.3Sg][Nom]	3	8570080167	8695	-2.455863629738295	1.0062847018807737	9	4	6	2	FALSE	ae	jei	front	C
bagettek	bagett	[/N][Pl][Nom]	432	8570080167	8695	-0.29750113764304575	1.0062847018807737	8	3	6	2	FALSE	ae	ek	front	V
bagettünk	bagett	[/N][Poss.1Pl][Nom]	16	8570080167	8695	-1.728864901802033	1.0062847018807737	9	3	6	2	FALSE	ae	ünk	front	V
bagettem	bagett	[/N][Poss.1Sg][Nom]	21	8570080167	8695	-1.6107655897240385	1.0062847018807737	8	3	6	2	FALSE	ae	em	front	V
bagetted	bagett	[/N][Poss.2Sg][Nom]	6	8570080167	8695	-2.1548336340743144	1.0062847018807737	8	3	6	2	FALSE	ae	ed	front	V
bagettjük	bagett	[/N][Poss.3Pl][Nom]	9	8570080167	8695	-1.978742375018633	1.0062847018807737	9	3	6	2	FALSE	ae	jük	front	C
bagettje	bagett	[/N][Poss.3Sg][Nom]	29	8570080167	8695	-1.4705868865590015	1.0062847018807737	8	3	6	2	FALSE	ae	je	front	C
bagettra	bagett	[/N][Subl]	3	8570080167	8695	-2.455863629738295	1.0062847018807737	8	3	6	2	FALSE	ae	ra	back	C
bagettre	bagett	[/N][Subl]	300	8570080167	8695	-0.4558636297382954	1.0062847018807737	8	3	6	2	FALSE	ae	re	front	C
bagetten	bagett	[/N][Supe]	370	8570080167	8695	-0.3647831603909628	1.0062847018807737	8	3	6	2	FALSE	ae	en	front	V
bagetté	bagett	[/N][Transl]	13	8570080167	8695	-1.819041532151121	1.0062847018807737	7	3	6	2	FALSE	ae	vé	front	C
baggertől	bagger	[/N][Abl]	2	8570080167	426	-2.6319548887939765	-0.3035752853552389	9	3	6	2	TRUE	ae	től	front	C
baggernak	bagger	[/N][Dat]	1	8570080167	426	-2.932984884457958	-0.3035752853552389	9	3	6	2	TRUE	ae	nak	back	C
baggernek	bagger	[/N][Dat]	5	8570080167	426	-2.234014880121939	-0.3035752853552389	9	3	6	2	TRUE	ae	nek	front	C
baggerből	bagger	[/N][Ela]	1	8570080167	426	-2.932984884457958	-0.3035752853552389	9	3	6	2	TRUE	ae	ből	front	C
baggerbe	bagger	[/N][Ill]	1	8570080167	426	-2.932984884457958	-0.3035752853552389	8	3	6	2	TRUE	ae	be	front	C
baggerral	bagger	[/N][Ins]	2	8570080167	426	-2.6319548887939765	-0.3035752853552389	9	3	6	2	TRUE	ae	val	back	C
baggerrel	bagger	[/N][Ins]	2	8570080167	426	-2.6319548887939765	-0.3035752853552389	9	3	6	2	TRUE	ae	vel	front	C
baggerek	bagger	[/N][Pl][Nom]	23	8570080167	426	-1.571257048440365	-0.3035752853552389	8	3	6	2	TRUE	ae	ek	front	V
baggere	bagger	[/N][Poss.3Sg][Nom]	4	8570080167	426	-2.3309248931299953	-0.3035752853552389	7	3	6	2	TRUE	ae	e	front	V
baggerra	bagger	[/N][Subl]	3	8570080167	426	-2.455863629738295	-0.3035752853552389	8	3	6	2	TRUE	ae	ra	back	C
baggerre	bagger	[/N][Subl]	2	8570080167	426	-2.6319548887939765	-0.3035752853552389	8	3	6	2	TRUE	ae	re	front	C
baggeren	bagger	[/N][Supe]	6	8570080167	426	-2.1548336340743144	-0.3035752853552389	8	3	6	2	TRUE	ae	en	front	V
baggerré	bagger	[/N][Transl]	1	8570080167	426	-2.932984884457958	-0.3035752853552389	8	3	6	2	TRUE	ae	vé	front	C
baktertól	bakter	[/N][Abl]	8	8570080167	4460	-2.0298948974660145	0.716349974254184	9	3	6	2	TRUE	ae	tól	back	C
baktertől	bakter	[/N][Abl]	17	8570080167	4460	-1.702535963079684	0.716349974254184	9	3	6	2	TRUE	ae	től	front	C
bakternál	bakter	[/N][Ade]	12	8570080167	4460	-1.853803638410333	0.716349974254184	9	3	6	2	TRUE	ae	nál	back	C
bakternél	bakter	[/N][Ade]	8	8570080167	4460	-2.0298948974660145	0.716349974254184	9	3	6	2	TRUE	ae	nél	front	C
bakterhoz	bakter	[/N][All]	9	8570080167	4460	-1.978742375018633	0.716349974254184	9	3	6	2	TRUE	ae	hoz	back	C
bakterhez	bakter	[/N][All]	33	8570080167	4460	-1.4144709445800705	0.716349974254184	9	3	6	2	TRUE	ae	hez	front	C
bakternak	bakter	[/N][Dat]	96	8570080167	4460	-0.9507136514183894	0.716349974254184	9	3	6	2	TRUE	ae	nak	back	C
bakternek	bakter	[/N][Dat]	86	8570080167	4460	-0.99848643321439	0.716349974254184	9	3	6	2	TRUE	ae	nek	front	C
bakterról	bakter	[/N][Del]	2	8570080167	4460	-2.6319548887939765	0.716349974254184	9	3	6	2	TRUE	ae	ról	back	C
bakterről	bakter	[/N][Del]	6	8570080167	4460	-2.1548336340743144	0.716349974254184	9	3	6	2	TRUE	ae	ről	front	C
bakterból	bakter	[/N][Ela]	4	8570080167	4460	-2.3309248931299953	0.716349974254184	9	3	6	2	TRUE	ae	ból	back	C
bakterba	bakter	[/N][Ill]	6	8570080167	4460	-2.1548336340743144	0.716349974254184	8	3	6	2	TRUE	ae	ba	back	C
bakterban	bakter	[/N][Ine]	18	8570080167	4460	-1.6777123793546518	0.716349974254184	9	3	6	2	TRUE	ae	ban	back	C
bakterben	bakter	[/N][Ine]	13	8570080167	4460	-1.819041532151121	0.716349974254184	9	3	6	2	TRUE	ae	ben	front	C
bakterral	bakter	[/N][Ins]	47	8570080167	4460	-1.2608870265222405	0.716349974254184	9	3	6	2	TRUE	ae	val	back	C
bakterrel	bakter	[/N][Ins]	69	8570080167	4460	-1.0941357937207026	0.716349974254184	9	3	6	2	TRUE	ae	vel	front	C
baktereink	bakter	[/N][Pl.Poss.1Pl][Nom]	2	8570080167	4460	-2.6319548887939765	0.716349974254184	10	4	6	2	TRUE	ae	eink	front	V
bakterai	bakter	[/N][Pl.Poss.3Sg][Nom]	2	8570080167	4460	-2.6319548887939765	0.716349974254184	8	4	6	2	TRUE	ae	ai	back	V
bakterok	bakter	[/N][Pl][Nom]	93	8570080167	4460	-0.9645019359040228	0.716349974254184	8	3	6	2	TRUE	ae	ok	back	V
bakterek	bakter	[/N][Pl][Nom]	1	8570080167	4460	-2.932984884457958	0.716349974254184	8	3	6	2	TRUE	ae	ek	front	V
bakterunk	bakter	[/N][Poss.1Pl][Nom]	2	8570080167	4460	-2.6319548887939765	0.716349974254184	9	3	6	2	TRUE	ae	unk	back	V
bakterünk	bakter	[/N][Poss.1Pl][Nom]	4	8570080167	4460	-2.3309248931299953	0.716349974254184	9	3	6	2	TRUE	ae	ünk	front	V
bakterom	bakter	[/N][Poss.1Sg][Nom]	29	8570080167	4460	-1.4705868865590015	0.716349974254184	8	3	6	2	TRUE	ae	om	back	V
bakterod	bakter	[/N][Poss.2Sg][Nom]	2	8570080167	4460	-2.6319548887939765	0.716349974254184	8	3	6	2	TRUE	ae	od	back	V
baktered	bakter	[/N][Poss.2Sg][Nom]	2	8570080167	4460	-2.6319548887939765	0.716349974254184	8	3	6	2	TRUE	ae	ed	front	V
bakterja	bakter	[/N][Poss.3Sg][Nom]	18	8570080167	4460	-1.6777123793546518	0.716349974254184	8	3	6	2	TRUE	ae	ja	back	C
bakterje	bakter	[/N][Poss.3Sg][Nom]	3	8570080167	4460	-2.455863629738295	0.716349974254184	8	3	6	2	TRUE	ae	je	front	C
bakterra	bakter	[/N][Subl]	9	8570080167	4460	-1.978742375018633	0.716349974254184	8	3	6	2	TRUE	ae	ra	back	C
bakterre	bakter	[/N][Subl]	10	8570080167	4460	-1.9329848844579576	0.716349974254184	8	3	6	2	TRUE	ae	re	front	C
bakteron	bakter	[/N][Supe]	6	8570080167	4460	-2.1548336340743144	0.716349974254184	8	3	6	2	TRUE	ae	on	back	V
bakteren	bakter	[/N][Supe]	4	8570080167	4460	-2.3309248931299953	0.716349974254184	8	3	6	2	TRUE	ae	en	front	V
bakterrá	bakter	[/N][Transl]	1	8570080167	4460	-2.932984884457958	0.716349974254184	8	3	6	2	TRUE	ae	vá	back	C
bakterré	bakter	[/N][Transl]	9	8570080167	4460	-1.978742375018633	0.716349974254184	8	3	6	2	TRUE	ae	vé	front	C
balektól	balek	[/N][Abl]	15	8570080167	13062	-1.756893625402277	1.18302479496678	8	3	5	2	TRUE	ae	tól	back	C
balektől	balek	[/N][Abl]	4	8570080167	13062	-2.3309248931299953	1.18302479496678	8	3	5	2	TRUE	ae	től	front	C
balekot	balek	[/N][Acc]	924	8570080167	13062	0.0326870867621489	1.18302479496678	7	3	5	2	TRUE	ae	ot	back	V
baleket	balek	[/N][Acc]	9	8570080167	13062	-1.978742375018633	1.18302479496678	7	3	5	2	TRUE	ae	et	front	V
baleknál	balek	[/N][Ade]	13	8570080167	13062	-1.819041532151121	1.18302479496678	8	3	5	2	TRUE	ae	nál	back	C
balekhoz	balek	[/N][All]	11	8570080167	13062	-1.8915921992997329	1.18302479496678	8	3	5	2	TRUE	ae	hoz	back	C
balekhez	balek	[/N][All]	4	8570080167	13062	-2.3309248931299953	1.18302479496678	8	3	5	2	TRUE	ae	hez	front	C
baleknak	balek	[/N][Dat]	860	8570080167	13062	0.00151356678560985	1.18302479496678	8	3	5	2	TRUE	ae	nak	back	C
baleknek	balek	[/N][Dat]	143	8570080167	13062	-0.777648846992896	1.18302479496678	8	3	5	2	TRUE	ae	nek	front	C
balekról	balek	[/N][Del]	5	8570080167	13062	-2.234014880121939	1.18302479496678	8	3	5	2	TRUE	ae	ról	back	C
balekről	balek	[/N][Del]	6	8570080167	13062	-2.1548336340743144	1.18302479496678	8	3	5	2	TRUE	ae	ről	front	C
balekból	balek	[/N][Ela]	16	8570080167	13062	-1.728864901802033	1.18302479496678	8	3	5	2	TRUE	ae	ból	back	C
balekből	balek	[/N][Ela]	2	8570080167	13062	-2.6319548887939765	1.18302479496678	8	3	5	2	TRUE	ae	ből	front	C
balekba	balek	[/N][Ill]	2	8570080167	13062	-2.6319548887939765	1.18302479496678	7	3	5	2	TRUE	ae	ba	back	C
balekban	balek	[/N][Ine]	5	8570080167	13062	-2.234014880121939	1.18302479496678	8	3	5	2	TRUE	ae	ban	back	C
balekben	balek	[/N][Ine]	2	8570080167	13062	-2.6319548887939765	1.18302479496678	8	3	5	2	TRUE	ae	ben	front	C
balekkal	balek	[/N][Ins]	58	8570080167	13062	-1.169556890895021	1.18302479496678	8	3	5	2	TRUE	ae	val	back	C
balekkel	balek	[/N][Ins]	16	8570080167	13062	-1.728864901802033	1.18302479496678	8	3	5	2	TRUE	ae	vel	front	C
balekjaink	balek	[/N][Pl.Poss.1Pl][Nom]	3	8570080167	13062	-2.455863629738295	1.18302479496678	10	4	5	2	TRUE	ae	jaink	back	C
balekjaik	balek	[/N][Pl.Poss.3Pl][Nom]	6	8570080167	13062	-2.1548336340743144	1.18302479496678	9	4	5	2	TRUE	ae	jaik	back	C
balekjai	balek	[/N][Pl.Poss.3Sg][Nom]	163	8570080167	13062	-0.720797280054	1.18302479496678	8	4	5	2	TRUE	ae	jai	back	C
balekjei	balek	[/N][Pl.Poss.3Sg][Nom]	4	8570080167	13062	-2.3309248931299953	1.18302479496678	8	4	5	2	TRUE	ae	jei	front	C
balekok	balek	[/N][Pl][Nom]	2710	8570080167	13062	0.4999844064164478	1.18302479496678	7	3	5	2	TRUE	ae	ok	back	V
balekunk	balek	[/N][Poss.1Pl][Nom]	23	8570080167	13062	-1.571257048440365	1.18302479496678	8	3	5	2	TRUE	ae	unk	back	V
balekom	balek	[/N][Poss.1Sg][Nom]	1	8570080167	13062	-2.932984884457958	1.18302479496678	7	3	5	2	TRUE	ae	om	back	V
balekod	balek	[/N][Poss.2Sg][Nom]	5	8570080167	13062	-2.234014880121939	1.18302479496678	7	3	5	2	TRUE	ae	od	back	V
balekjuk	balek	[/N][Poss.3Pl][Nom]	1	8570080167	13062	-2.932984884457958	1.18302479496678	8	3	5	2	TRUE	ae	juk	back	C
balekja	balek	[/N][Poss.3Sg][Nom]	191	8570080167	13062	-0.6519515172102303	1.18302479496678	7	3	5	2	TRUE	ae	ja	back	C
balekje	balek	[/N][Poss.3Sg][Nom]	11	8570080167	13062	-1.8915921992997329	1.18302479496678	7	3	5	2	TRUE	ae	je	front	C
balekra	balek	[/N][Subl]	106	8570080167	13062	-0.9076790191931876	1.18302479496678	7	3	5	2	TRUE	ae	ra	back	C
balekre	balek	[/N][Subl]	14	8570080167	13062	-1.7868568487797198	1.18302479496678	7	3	5	2	TRUE	ae	re	front	C
balekon	balek	[/N][Supe]	22	8570080167	13062	-1.5905622036357516	1.18302479496678	7	3	5	2	TRUE	ae	on	back	V
balekká	balek	[/N][Transl]	72	8570080167	13062	-1.0756523880266893	1.18302479496678	7	3	5	2	TRUE	ae	vá	back	C
balekké	balek	[/N][Transl]	10	8570080167	13062	-1.9329848844579576	1.18302479496678	7	3	5	2	TRUE	ae	vé	front	C
balekonként	balek	[/N][_Distr:nként/Adv]	3	8570080167	13062	-2.455863629738295	1.18302479496678	11	4	5	2	TRUE	ae	onként	back	V
balettól	balett	[/N][Abl]	45	8570080167	87544	-1.279772370682614	2.009241501756081	8	3	6	2	TRUE	ae	tól	back	C
balettől	balett	[/N][Abl]	404	8570080167	87544	-0.3266035193473528	2.009241501756081	8	3	6	2	TRUE	ae	től	front	C
balettot	balett	[/N][Acc]	604	8570080167	87544	-0.151947945836826	2.009241501756081	8	3	6	2	TRUE	ae	ot	back	V
balettet	balett	[/N][Acc]	4587	8570080167	87544	0.7285438556740248	2.009241501756081	8	3	6	2	TRUE	ae	et	front	V
balettnál	balett	[/N][Ade]	150	8570080167	87544	-0.7568936254022766	2.009241501756081	9	3	6	2	TRUE	ae	nál	back	C
balettnél	balett	[/N][Ade]	568	8570080167	87544	-0.17863654874693893	2.009241501756081	9	3	6	2	TRUE	ae	nél	front	C
baletthoz	balett	[/N][All]	122	8570080167	87544	-0.8466250537832096	2.009241501756081	9	3	6	2	TRUE	ae	hoz	back	C
baletthez	balett	[/N][All]	628	8570080167	87544	-0.13502524072076172	2.009241501756081	9	3	6	2	TRUE	ae	hez	front	C
balettnak	balett	[/N][Dat]	117	8570080167	87544	-0.8647990227117962	2.009241501756081	9	3	6	2	TRUE	ae	nak	back	C
balettnek	balett	[/N][Dat]	872	8570080167	87544	0.00753160047460937	2.009241501756081	9	3	6	2	TRUE	ae	nek	front	C
balettról	balett	[/N][Del]	111	8570080167	87544	-0.8876619056713004	2.009241501756081	9	3	6	2	TRUE	ae	ról	back	C
balettről	balett	[/N][Del]	434	8570080167	87544	-0.2954951549454472	2.009241501756081	9	3	6	2	TRUE	ae	ről	front	C
balettból	balett	[/N][Ela]	69	8570080167	87544	-1.0941357937207026	2.009241501756081	9	3	6	2	TRUE	ae	ból	back	C
balettből	balett	[/N][Ela]	511	8570080167	87544	-0.22456398432324515	2.009241501756081	9	3	6	2	TRUE	ae	ből	front	C
balettba	balett	[/N][Ill]	231	8570080167	87544	-0.5693729045658135	2.009241501756081	8	3	6	2	TRUE	ae	ba	back	C
balettbe	balett	[/N][Ill]	311	8570080167	87544	-0.4402244954311203	2.009241501756081	8	3	6	2	TRUE	ae	be	front	C
balettban	balett	[/N][Ine]	254	8570080167	87544	-0.5281511678380197	2.009241501756081	9	3	6	2	TRUE	ae	ban	back	C
balettben	balett	[/N][Ine]	984	8570080167	87544	0.06001021397338365	2.009241501756081	9	3	6	2	TRUE	ae	ben	front	C
balettal	balett	[/N][Ins]	244	8570080167	87544	-0.5455950581192285	2.009241501756081	8	3	6	2	TRUE	ae	val	back	C
balettel	balett	[/N][Ins]	1707	8570080167	87544	0.2992486366567758	2.009241501756081	8	3	6	2	TRUE	ae	vel	front	C
balettjeim	balett	[/N][Pl.Poss.1Sg][Nom]	11	8570080167	87544	-1.8915921992997329	2.009241501756081	10	4	6	2	TRUE	ae	jeim	front	C
balettjeik	balett	[/N][Pl.Poss.3Pl][Nom]	1	8570080167	87544	-2.932984884457958	2.009241501756081	10	4	6	2	TRUE	ae	jeik	front	C
balettjei	balett	[/N][Pl.Poss.3Sg][Nom]	123	8570080167	87544	-0.84307977301856	2.009241501756081	9	4	6	2	TRUE	ae	jei	front	C
balettok	balett	[/N][Pl][Nom]	18	8570080167	87544	-1.6777123793546518	2.009241501756081	8	3	6	2	TRUE	ae	ok	back	V
balettek	balett	[/N][Pl][Nom]	891	8570080167	87544	0.01689281957891699	2.009241501756081	8	3	6	2	TRUE	ae	ek	front	V
balettunk	balett	[/N][Poss.1Pl][Nom]	2	8570080167	87544	-2.6319548887939765	2.009241501756081	9	3	6	2	TRUE	ae	unk	back	V
balettünk	balett	[/N][Poss.1Pl][Nom]	24	8570080167	87544	-1.552773642746352	2.009241501756081	9	3	6	2	TRUE	ae	ünk	front	V
balettom	balett	[/N][Poss.1Sg][Nom]	4	8570080167	87544	-2.3309248931299953	2.009241501756081	8	3	6	2	TRUE	ae	om	back	V
balettem	balett	[/N][Poss.1Sg][Nom]	18	8570080167	87544	-1.6777123793546518	2.009241501756081	8	3	6	2	TRUE	ae	em	front	V
balettod	balett	[/N][Poss.2Sg][Nom]	2	8570080167	87544	-2.6319548887939765	2.009241501756081	8	3	6	2	TRUE	ae	od	back	V
baletted	balett	[/N][Poss.2Sg][Nom]	1	8570080167	87544	-2.932984884457958	2.009241501756081	8	3	6	2	TRUE	ae	ed	front	V
balettjük	balett	[/N][Poss.3Pl][Nom]	6	8570080167	87544	-2.1548336340743144	2.009241501756081	9	3	6	2	TRUE	ae	jük	front	C
balettja	balett	[/N][Poss.3Sg][Nom]	80	8570080167	87544	-1.0298948974660145	2.009241501756081	8	3	6	2	TRUE	ae	ja	back	C
balettje	balett	[/N][Poss.3Sg][Nom]	1041	8570080167	87544	0.08446584505257833	2.009241501756081	8	3	6	2	TRUE	ae	je	front	C
balettra	balett	[/N][Subl]	564	8570080167	87544	-0.1817057804746156	2.009241501756081	8	3	6	2	TRUE	ae	ra	back	C
balettre	balett	[/N][Subl]	638	8570080167	87544	-0.12816420573679552	2.009241501756081	8	3	6	2	TRUE	ae	re	front	C
baletton	balett	[/N][Supe]	133	8570080167	87544	-0.809133243490872	2.009241501756081	8	3	6	2	TRUE	ae	on	back	V
baletten	balett	[/N][Supe]	338	8570080167	87544	-0.4040681841803031	2.009241501756081	8	3	6	2	TRUE	ae	en	front	V
balettá	balett	[/N][Transl]	5	8570080167	87544	-2.234014880121939	2.009241501756081	7	3	6	2	TRUE	ae	vá	back	C
baletté	balett	[/N][Transl]	35	8570080167	87544	-1.388916840107682	2.009241501756081	7	3	6	2	TRUE	ae	vé	front	C
bankettól	bankett	[/N][Abl]	1	8570080167	10704	-2.932984884457958	1.09656121596579	9	3	7	2	TRUE	ae	tól	back	C
bankettől	bankett	[/N][Abl]	9	8570080167	10704	-1.978742375018633	1.09656121596579	9	3	7	2	TRUE	ae	től	front	C
bankettot	bankett	[/N][Acc]	10	8570080167	10704	-1.9329848844579576	1.09656121596579	9	3	7	2	TRUE	ae	ot	back	V
bankettet	bankett	[/N][Acc]	790	8570080167	10704	-0.03535779316751642	1.09656121596579	9	3	7	2	TRUE	ae	et	front	V
bankettnál	bankett	[/N][Ade]	1	8570080167	10704	-2.932984884457958	1.09656121596579	10	3	7	2	TRUE	ae	nál	back	C
bankettnél	bankett	[/N][Ade]	3	8570080167	10704	-2.455863629738295	1.09656121596579	10	3	7	2	TRUE	ae	nél	front	C
banketthoz	bankett	[/N][All]	2	8570080167	10704	-2.6319548887939765	1.09656121596579	10	3	7	2	TRUE	ae	hoz	back	C
banketthez	bankett	[/N][All]	14	8570080167	10704	-1.7868568487797198	1.09656121596579	10	3	7	2	TRUE	ae	hez	front	C
bankettnak	bankett	[/N][Dat]	1	8570080167	10704	-2.932984884457958	1.09656121596579	10	3	7	2	TRUE	ae	nak	back	C
bankettnek	bankett	[/N][Dat]	54	8570080167	10704	-1.2005911246349894	1.09656121596579	10	3	7	2	TRUE	ae	nek	front	C
bankettról	bankett	[/N][Del]	6	8570080167	10704	-2.1548336340743144	1.09656121596579	10	3	7	2	TRUE	ae	ról	back	C
bankettről	bankett	[/N][Del]	261	8570080167	10704	-0.5163443771196768	1.09656121596579	10	3	7	2	TRUE	ae	ről	front	C
bankettből	bankett	[/N][Ela]	10	8570080167	10704	-1.9329848844579576	1.09656121596579	10	3	7	2	TRUE	ae	ből	front	C
bankettbe	bankett	[/N][Ill]	2	8570080167	10704	-2.6319548887939765	1.09656121596579	9	3	7	2	TRUE	ae	be	front	C
bankettben	bankett	[/N][Ine]	6	8570080167	10704	-2.1548336340743144	1.09656121596579	10	3	7	2	TRUE	ae	ben	front	C
bankettal	bankett	[/N][Ins]	11	8570080167	10704	-1.8915921992997329	1.09656121596579	9	3	7	2	TRUE	ae	val	back	C
bankettel	bankett	[/N][Ins]	166	8570080167	10704	-0.7128767964179027	1.09656121596579	9	3	7	2	TRUE	ae	vel	front	C
bankettjaink	bankett	[/N][Pl.Poss.1Pl][Nom]	1	8570080167	10704	-2.932984884457958	1.09656121596579	12	4	7	2	TRUE	ae	jaink	back	C
bankettjeink	bankett	[/N][Pl.Poss.1Pl][Nom]	3	8570080167	10704	-2.455863629738295	1.09656121596579	12	4	7	2	TRUE	ae	jeink	front	C
bankettjeik	bankett	[/N][Pl.Poss.3Pl][Nom]	1	8570080167	10704	-2.932984884457958	1.09656121596579	11	4	7	2	TRUE	ae	jeik	front	C
bankettjei	bankett	[/N][Pl.Poss.3Sg][Nom]	8	8570080167	10704	-2.0298948974660145	1.09656121596579	10	4	7	2	TRUE	ae	jei	front	C
bankettek	bankett	[/N][Pl][Nom]	1312	8570080167	10704	0.1849489505816836	1.09656121596579	9	3	7	2	TRUE	ae	ek	front	V
bankettünk	bankett	[/N][Poss.1Pl][Nom]	57	8570080167	10704	-1.1771100287854663	1.09656121596579	10	3	7	2	TRUE	ae	ünk	front	V
bankettem	bankett	[/N][Poss.1Sg][Nom]	28	8570080167	10704	-1.4858268531157386	1.09656121596579	9	3	7	2	TRUE	ae	em	front	V
bankettjuk	bankett	[/N][Poss.3Pl][Nom]	1	8570080167	10704	-2.932984884457958	1.09656121596579	10	3	7	2	TRUE	ae	juk	back	C
